"","date","month","weekday","time","flow","holiday"
"1",2019-01-01,"01","Dienstag","00",416,1
"2",2019-01-01,"01","Dienstag","01",502,1
"3",2019-01-01,"01","Dienstag","02",293,1
"4",2019-01-01,"01","Dienstag","03",172,1
"5",2019-01-01,"01","Dienstag","04",144,1
"6",2019-01-01,"01","Dienstag","05",116,1
"7",2019-01-01,"01","Dienstag","06",109,1
"8",2019-01-01,"01","Dienstag","07",82,1
"9",2019-01-01,"01","Dienstag","08",94,1
"10",2019-01-01,"01","Dienstag","09",133,1
"11",2019-01-01,"01","Dienstag","10",192,1
"12",2019-01-01,"01","Dienstag","11",278,1
"13",2019-01-01,"01","Dienstag","12",290,1
"14",2019-01-01,"01","Dienstag","13",389,1
"15",2019-01-01,"01","Dienstag","14",446,1
"16",2019-01-01,"01","Dienstag","15",511,1
"17",2019-01-01,"01","Dienstag","16",516,1
"18",2019-01-01,"01","Dienstag","17",443,1
"19",2019-01-01,"01","Dienstag","18",361,1
"20",2019-01-01,"01","Dienstag","19",287,1
"21",2019-01-01,"01","Dienstag","20",221,1
"22",2019-01-01,"01","Dienstag","21",206,1
"23",2019-01-01,"01","Dienstag","22",172,1
"24",2019-01-01,"01","Dienstag","23",118,1
"25",2019-01-02,"01","Mittwoch","00",71,1
"26",2019-01-02,"01","Mittwoch","01",41,1
"27",2019-01-02,"01","Mittwoch","02",23,1
"28",2019-01-02,"01","Mittwoch","03",24,1
"29",2019-01-02,"01","Mittwoch","04",27,1
"30",2019-01-02,"01","Mittwoch","05",27,1
"31",2019-01-02,"01","Mittwoch","06",103,1
"32",2019-01-02,"01","Mittwoch","07",142,1
"33",2019-01-02,"01","Mittwoch","08",179,1
"34",2019-01-02,"01","Mittwoch","09",287,1
"35",2019-01-02,"01","Mittwoch","10",372,1
"36",2019-01-02,"01","Mittwoch","11",456,1
"37",2019-01-02,"01","Mittwoch","12",483,1
"38",2019-01-02,"01","Mittwoch","13",585,1
"39",2019-01-02,"01","Mittwoch","14",625,1
"40",2019-01-02,"01","Mittwoch","15",650,1
"41",2019-01-02,"01","Mittwoch","16",637,1
"42",2019-01-02,"01","Mittwoch","17",624,1
"43",2019-01-02,"01","Mittwoch","18",477,1
"44",2019-01-02,"01","Mittwoch","19",343,1
"45",2019-01-02,"01","Mittwoch","20",288,1
"46",2019-01-02,"01","Mittwoch","21",284,1
"47",2019-01-02,"01","Mittwoch","22",242,1
"48",2019-01-02,"01","Mittwoch","23",164,1
"49",2019-01-03,"01","Donnerstag","00",83,0
"50",2019-01-03,"01","Donnerstag","01",41,0
"51",2019-01-03,"01","Donnerstag","02",21,0
"52",2019-01-03,"01","Donnerstag","03",26,0
"53",2019-01-03,"01","Donnerstag","04",55,0
"54",2019-01-03,"01","Donnerstag","05",123,0
"55",2019-01-03,"01","Donnerstag","06",442,0
"56",2019-01-03,"01","Donnerstag","07",643,0
"57",2019-01-03,"01","Donnerstag","08",613,0
"58",2019-01-03,"01","Donnerstag","09",509,0
"59",2019-01-03,"01","Donnerstag","10",523,0
"60",2019-01-03,"01","Donnerstag","11",614,0
"61",2019-01-03,"01","Donnerstag","12",520,0
"62",2019-01-03,"01","Donnerstag","13",600,0
"63",2019-01-03,"01","Donnerstag","14",672,0
"64",2019-01-03,"01","Donnerstag","15",636,0
"65",2019-01-03,"01","Donnerstag","16",730,0
"66",2019-01-03,"01","Donnerstag","17",831,0
